
 ================================================================================================================================
   Kinetic data summary @  298.15K
 ================================================================================================================================
        Reaction                                                                        DG            DH            DS               
                                                                                        [kcal/mol]    [kcal/mol]    [cal/mol/K]      
 ================================================================================================================================
 1      H2+M=2H+M                                                                       97.158        104.195       23.600        
 2      H2+O=H+OH                                                                       1.017         1.496         1.606         
 3      H2+OH=H+H2O                                                                     -13.881       -14.656       -2.599        
 4      2O+M=O2+M                                                                       -110.788      -119.122      -27.954       
 5      H+O2=O+OH                                                                       14.646        16.423        5.959         
 6      H+OH+M=H2O+M                                                                    -111.039      -118.850      -26.199       
 7      O+H2O=2OH                                                                       14.898        16.151        4.205         
 8      H+O+M=OH+M                                                                      -96.141       -102.699      -21.994       
 9      H2O2(+M)=2OH(+M)                                                                40.817        50.290        31.773        
 10     H+H2O2=H2O+OH                                                                   -70.222       -68.560       5.574         
 11     H+H2O2=H2+HO2                                                                   -17.551       -16.797       2.530         
 12     O+H2O2=OH+HO2                                                                   -16.534       -15.301       4.136         
 13     OH+H2O2=H2O+HO2                                                                 -31.432       -31.452       -0.069        
 14     OH+H2O2=H2O+HO2                                                                 -31.432       -31.452       -0.069        
 15     H+HO2=2OH                                                                       -38.790       -37.108       5.643         
 16     H+HO2=H2+O2                                                                     -54.453       -55.027       -1.922        
 17     O+HO2=O2+OH                                                                     -53.436       -53.531       -0.316        
 18     OH+HO2=O2+H2O                                                                   -68.334       -69.682       -4.521        
 19     OH+HO2=O2+H2O                                                                   -68.334       -69.682       -4.521        
 20     2HO2=O2+H2O2                                                                    -36.903       -38.230       -4.452        
 21     2HO2=O2+H2O2                                                                    -36.903       -38.230       -4.452        
 22     H+O2(+M)=HO2(+M)                                                                -42.705       -49.168       -21.678       
 23     O+CO(+M)=CO2(+M)                                                                -116.854      -127.181      -34.637       
 24     OH+CO=H+CO2                                                                     -20.713       -24.482       -12.643       
 25     OH+CO=H+CO2                                                                     -20.713       -24.482       -12.643       
 26     HO2+CO=OH+CO2                                                                   -59.503       -61.590       -7.000        
 27     O2+CO=O+CO2                                                                     -6.067        -8.059        -6.683        
 28     H+CH3(+M)=CH4(+M)                                                               -96.266       -104.984      -29.240       
 29     CH4+H=H2+CH3                                                                    -0.893        0.789         5.640         
 30     CH4+O=OH+CH3                                                                    0.124         2.285         7.246         
 31     CH4+OH=H2O+CH3                                                                  -14.773       -13.866       3.041         
 32     CH4+HO2=H2O2+CH3                                                                16.658        17.586        3.110         
 33     HO2+CH3=CH4+O2                                                                  -53.561       -55.816       -7.562        
 34     O2+CH3=O+CH3O                                                                   29.817        29.545        -0.913        
 35     O2+CH3=OH+CH2O                                                                  -52.426       -52.187       0.800         
 36     O+CH3=H+CH2O                                                                    -67.072       -68.610       -5.159        
 37     OH+CH3=H2+CH2O                                                                  -68.089       -70.106       -6.765        
 38     OH+CH3=H+CH2OH                                                                  5.313         3.969         -4.508        
 39     OH+CH3=H+CH3O                                                                   15.171        13.122        -6.872        
 40     HO2+CH3=OH+CH3O                                                                 -23.619       -23.986       -1.229        
 41     CH3OH(+M)=OH+CH3(+M)                                                            82.284        92.053        32.763        
 42     CH3OH(+M)=H+CH2OH(+M)                                                           87.598        96.022        28.255        
 43     CH3OH+H=H2+CH3O                                                                 0.297         0.980         2.291         
 44     CH3OH+H=H2+CH2OH                                                                -9.561        -8.173        4.655         
 45     CH3OH+O=OH+CH3O                                                                 1.314         2.476         3.897         
 46     CH3OH+O=OH+CH2OH                                                                -8.544        -6.677        6.261         
 47     CH3OH+OH=H2O+CH3O                                                               -13.584       -13.675       -0.308        
 48     CH3OH+OH=H2O+CH2OH                                                              -23.441       -22.828       2.056         
 49     CH3OH+O2=HO2+CH3O                                                               54.750        56.007        4.213         
 50     CH3OH+O2=HO2+CH2OH                                                              44.893        46.854        6.577         
 51     CH3OH+HO2=H2O2+CH3O                                                             17.848        17.777        -0.239        
 52     CH3OH+HO2=H2O2+CH2OH                                                            7.990         8.624         2.125         
 53     CH3OH+CH3=CH4+CH2OH                                                             -8.668        -8.962        -0.985        
 54     CH3OH+CH3=CH4+CH3O                                                              1.190         0.191         -3.349        
 55     CH3OH+HCO=CH2OH+CH2O                                                            7.991         7.846         -0.483        
 56     CH3OH+CH3O=CH3OH+CH2OH                                                          -9.858        -9.153        2.364         
 57     O2+CH2OH=HO2+CH2O                                                               -18.949       -19.048       -0.334        
 58     O2+CH2OH=HO2+CH2O                                                               -18.949       -19.048       -0.334        
 59     H+CH2OH=H2+CH2O                                                                 -73.402       -74.075       -2.257        
 60     HO2+CH2OH=H2O2+CH2O                                                             -55.851       -57.278       -4.787        
 61     CH2OH+HCO=2CH2O                                                                 -55.851       -58.056       -7.395        
 62     CH2OH+HCO=CH3OH+CO                                                              -78.179       -80.327       -7.206        
 63     CH3O+CH2OH=CH3OH+CH2O                                                           -73.699       -75.055       -4.548        
 64     OH+CH2OH=H2O+CH2O                                                               -87.283       -88.730       -4.855        
 65     O+CH2OH=OH+CH2O                                                                 -72.385       -72.579       -0.651        
 66     2CH2OH=CH3OH+CH2O                                                               -63.841       -65.902       -6.911        
 67     O2+CH3O=HO2+CH2O                                                                -28.806       -28.201       2.029         
 68     H+CH3O=H2+CH2O                                                                  -83.260       -83.228       0.107         
 69     HO2+CH3O=H2O2+CH2O                                                              -65.709       -66.431       -2.423        
 70     CH3+CH3O=CH4+CH2O                                                               -82.367       -84.017       -5.533        
 71     2CH3O=CH3OH+CH2O                                                                -83.557       -84.208       -2.184        
 72     H+HCO(+M)=CH2O(+M)                                                              -79.607       -88.175       -28.738       
 73     H2+CO(+M)=CH2O(+M)                                                              8.132         0.325         -26.187       
 74     O2+CH2O=HO2+HCO                                                                 36.902        39.007        7.060         
 75     O+CH2O=OH+HCO                                                                   -16.534       -14.523       6.744         
 76     H+CH2O=H2+HCO                                                                   -17.551       -16.019       5.138         
 77     OH+CH2O=H2O+HCO                                                                 -31.432       -30.675       2.539         
 78     HO2+CH2O=H2O2+HCO                                                               -0.000        0.777         2.608         
 79     CH3+CH2O=CH4+HCO                                                                -16.659       -16.808       -0.502        
 80     CH3O+CH2O=CH3OH+HCO                                                             -17.848       -16.999       2.847         
 81     HCO+M=H+CO+M                                                                    9.419         15.694        21.049        
 82     O2+HCO=HO2+CO                                                                   -33.286       -33.474       -0.629        
 83     O+HCO=OH+CO                                                                     -86.723       -87.005       -0.946        
 84     H+HCO=H2+CO                                                                     -87.740       -88.500       -2.552        
 85     OH+HCO=H2O+CO                                                                   -101.620      -103.156      -5.150        
 86     CH3+HCO=CH4+CO                                                                  -86.847       -89.289       -8.192        
 87     2HCO=CO+CH2O                                                                    -70.188       -72.481       -7.690        
 88     O+HCO=H+CO2                                                                     -107.435      -111.487      -13.588       
 89     HO2+HCO=>H+OH+CO2                                                               -50.084       -45.896       14.049        
 90     2HCO=>H2+2CO                                                                    -78.321       -72.806       18.497        
 91     H+CH2O(+M)=CH2OH(+M)                                                            -23.756       -30.120       -21.344       
 92     CH3O(+M)=H+CH2O(+M)                                                             13.899        20.967        23.707        
 93     HOCHO=H2O+CO                                                                    -3.664        6.264         33.301        
 94     HOCHO=H2+CO2                                                                    -10.496       -3.562        23.257        
 95     HOCHO+H=>H2+H+CO2                                                               -10.496       -3.562        23.257        
 96     HOCHO+H=>H2+OH+CO                                                               10.216        20.920        35.899        
 97     HOCHO+O=>2OH+CO                                                                 11.233        22.416        37.505        
 98     HOCHO+OH=>H+H2O+CO2                                                             -24.377       -18.218       20.658        
 99     HOCHO+OH=>H2O+OH+CO                                                             -3.664        6.264         33.301        
 100    HOCHO+CH3=>CH4+OH+CO                                                            11.109        20.131        30.259        
 101    HOCHO+HO2=>OH+H2O2+CO                                                           27.767        37.716        33.369        
 102    2CH3(+M)=C2H6(+M)                                                               -78.841       -90.156       -37.949       
 103    H+C2H5(+M)=C2H6(+M)                                                             -91.588       -100.742      -30.704       
 104    C2H6+O2=HO2+C2H5                                                                48.883        51.574        9.026         
 105    C2H6+O=OH+C2H5                                                                  -4.554        -1.957        8.710         
 106    C2H6+H=H2+C2H5                                                                  -5.571        -3.453        7.104         
 107    C2H6+OH=H2O+C2H5                                                                -19.451       -18.108       4.505         
 108    C2H6+HO2=H2O2+C2H5                                                              11.980        13.344        4.574         
 109    C2H6+CH3=CH4+C2H5                                                               -4.678        -4.242        1.464         
 110    C2H6+CH3O=CH3OH+C2H5                                                            -5.868        -4.433        4.813         
 111    H+C2H4(+M)=C2H5(+M)                                                             -29.550       -36.038       -21.761       
